adm1,population,pub_treat,priv_treat,no_treat
AWDAL,599145,0.29,0.34,0.37000000000000005
BAKOL,448141,0.6641456279872108,0.15108772102973048,0.18476665098305878
BANADIR,2717610,0.28,0.55,0.18
BARI,341116,0.38,0.37000000000000005,0.25
BAY,1322326,0.41999999999999993,0.26,0.31999999999999995
GALGADUD,708413,0.42999999999999994,0.43999999999999995,0.13
GEDO,765048,0.5263599093374295,0.28382724294655426,0.18981284771601628
HIRAN,572088,0.36,0.58,0.06
KARKAR,341169,0.37999999999999995,0.37000000000000005,0.25
LOWER JUBA,664167,0.38775618104804854,0.3983553338308006,0.21388848512115088
LOWER SHABELLE,2319581,0.3374478232830971,0.26973620366091877,0.3928159730559842
MARODIJEH,1137805,0.28,0.54,0.17999999999999997
MIDDLE JUBA,471398,0.38775618104804854,0.3983553338308006,0.21388848512115086
MIDDLE SHABELLE,918222,0.33999999999999997,0.27,0.39
MUDUG,456779,0.34,0.31,0.3499999999999999
NUGAL,222430,0.4600000000000001,0.37000000000000005,0.17000000000000004
SAHIL,210277,0.27999999999999997,0.54,0.18
SANAG,369354,0.35,0.21,0.44
SOOL,294586,0.28,0.29999999999999993,0.42
TOGDHEER,775691,0.2700000000000001,0.5400000000000001,0.19
NA,15655346,NA,NA,NA
